cbo_2002,sinonimo
212205,Engenheiro de Aplicativos em Computacao
212210,Engenheiro de Equipamentos em Computacao
212215,Engenheiros de Sistemas Operacionais em Computacao
212305,Administrador de Banco de Dados
212310,Administrador de Redes
212315,Administrador de Sistemas Operacionais
212320,Administrador em Segurança da Informação
212405,Analista de Desenvolvimento de Sistemas
212410,Analista de Redes e de Comunicacao de Dados
212415,Analista de Sistemas de Automacao
212420,Analista de Suporte Computacional
317105,Programador de Internet
317110,Programador de Sistemas de Informacao
317115,Programador de Maquinas - Ferramenta com Comando Numerico
317120,Programador de Multimidia
317205,Operador de Computador (Inclusive Microcomputador)
317210,Tecnico de Apoio ao Usuario de Informatica (Helpdesk)
